tiempo_post,reacciones,texto_post
12 h,31,NaN
1 d,31,NaN
1 d,95,NaN
2 d,92,NaN
3 d,54,NaN
3 d,327,NaN
4 d,109,NaN
5 d,93,NaN
6 d,113,NaN
28 de marzo a las 8:03 am,149,NaN
28 de marzo a las 5:08 am,11,NaN
27 de marzo a las 9:03 am,212,NaN
27 de marzo a las 4:30 am,40,NaN
26 de marzo a las 7:00 am,137,NaN
26 de marzo a las 5:30 am,118,NaN
25 de marzo a las 5:00 pm,86,NaN
