fecha,equipo_local,resultado,equipo_visita
11-02-2024,Burgos,2 - 0,Racing Ferrol
17-02-2024,Oviedo,5 - 0,Burgos
25-02-2024,Burgos,1 - 0,Sp Gijon
02-03-2024,Burgos,3 - 0,Cartagena
10-03-2024,Eibar,0 - 1,Burgos
16-03-2024,Burgos,1 - 1,Levante
24-03-2024,Huesca,3 - 0,Burgos
29-03-2024,Burgos,0 - 0,Espanol
07-04-2024,Villarreal II,? - ?,Burgos
13-08-2023,Cartagena,0 - 1,Eldense
18-08-2023,FC Andorra,3 - 2,Cartagena
25-08-2023,Cartagena,0 - 1,Levante
02-09-2023,Villarreal II,1 - 2,Cartagena
10-09-2023,Cartagena,1 - 3,Zaragoza
16-09-2023,Valladolid,1 - 0,Cartagena
22-09-2023,Cartagena,1 - 2,Eibar
01-10-2023,Amorebieta,0 - 0,Cartagena
05-10-2023,Cartagena,0 - 2,Espanol
08-10-2023,Racing Ferrol,1 - 1,Cartagena
14-10-2023,Cartagena,2 - 3,Santander
23-10-2023,Alcorcon,1 - 1,Cartagena
29-10-2023,Mirandes,2 - 1,Cartagena
05-11-2023,Cartagena,0 - 3,Leganes
13-11-2023,Oviedo,1 - 1,Cartagena
19-11-2023,Cartagena,1 - 1,Albacete
26-11-2023,Tenerife,1 - 1,Cartagena
02-12-2023,Cartagena,1 - 0,Sp Gijon
10-12-2023,Elche,1 - 2,Cartagena
16-12-2023,Cartagena,0 - 3,Burgos
21-12-2023,Huesca,3 - 0,Cartagena
14-01-2024,Cartagena,4 - 1,Villarreal II
21-01-2024,Santander,0 - 2,Cartagena
27-01-2024,Cartagena,1 - 0,Amorebieta
03-02-2024,Albacete,1 - 1,Cartagena
11-02-2024,Cartagena,1 - 0,Mirandes
16-02-2024,Zaragoza,1 - 2,Cartagena
25-02-2024,Cartagena,0 - 1,Elche
02-03-2024,Burgos,3 - 0,Cartagena
09-03-2024,Cartagena,2 - 1,Racing Ferrol
15-03-2024,Eldense,0 - 0,Cartagena
23-03-2024,Cartagena,1 - 0,FC Andorra
30-03-2024,Leganes,0 - 0,Cartagena
07-04-2024,Cartagena,? - ?,Valladolid
12-08-2023,Santander,4 - 0,Eibar
19-08-2023,Eibar,2 - 1,Elche
28-08-2023,Eldense,2 - 1,Eibar
03-09-2023,Eibar,0 - 1,Leganes
09-09-2023,Burgos,1 - 0,Eibar
17-09-2023,Eibar,2 - 0,Racing Ferrol
22-09-2023,Cartagena,1 - 2,Eibar
30-09-2023,Eibar,3 - 0,Tenerife
05-10-2023,Mirandes,1 - 3,Eibar
08-10-2023,Amorebieta,1 - 2,Eibar
15-10-2023,Eibar,1 - 1,Huesca
21-10-2023,Zaragoza,2 - 3,Eibar
27-10-2023,Eibar,5 - 1,Valladolid
03-11-2023,Espanol,2 - 2,Eibar
12-11-2023,Eibar,1 - 1,Albacete
19-11-2023,Oviedo,2 - 1,Eibar
25-11-2023,Eibar,3 - 1,Levante
04-12-2023,Villarreal II,1 - 0,Eibar
10-12-2023,Eibar,2 - 2,FC Andorra
17-12-2023,Alcorcon,1 - 0,Eibar
20-12-2023,Eibar,1 - 1,Sp Gijon
12-01-2024,Eibar,2 - 0,Santander
21-01-2024,Huesca,2 - 3,Eibar
26-01-2024,Eibar,1 - 0,Mirandes
04-02-2024,Racing Ferrol,1 - 1,Eibar
11-02-2024,Eibar,1 - 0,Zaragoza
18-02-2024,Elche,0 - 0,Eibar
24-02-2024,Eibar,2 - 3,Espanol
03-03-2024,Leganes,0 - 2,Eibar
10-03-2024,Eibar,0 - 1,Burgos
16-03-2024,Eibar,2 - 0,Villarreal II
24-03-2024,Valladolid,3 - 1,Eibar
30-03-2024,Eibar,5 - 1,Eldense
07-04-2024,Tenerife,? - ?,Eibar
12-08-2023,Elche,0 - 1,Racing Ferrol
19-08-2023,Eibar,2 - 1,Elche
26-08-2023,Elche,1 - 0,Villarreal II
02-09-2023,Elche,1 - 1,Santander
10-09-2023,Valladolid,1 - 1,Elche
17-09-2023,Elche,1 - 0,Leganes
23-09-2023,Burgos,4 - 0,Elche
30-09-2023,Elche,0 - 0,Levante
04-10-2023,Sp Gijon,2 - 0,Elche
09-10-2023,Elche,2 - 1,FC Andorra
15-10-2023,Eldense,1 - 1,Elche
22-10-2023,Huesca,0 - 1,Elche
28-10-2023,Elche,2 - 1,Tenerife
04-11-2023,Albacete,1 - 1,Elche
11-11-2023,Elche,2 - 0,Zaragoza
18-11-2023,Espanol,2 - 0,Elche
26-11-2023,Elche,2 - 0,Amorebieta
03-12-2023,Alcorcon,0 - 2,Elche
10-12-2023,Elche,1 - 2,Cartagena
15-12-2023,Oviedo,3 - 2,Elche
19-12-2023,Elche,0 - 0,Mirandes
13-01-2024,Tenerife,0 - 1,Elche
21-01-2024,Elche,0 - 0,Valladolid
28-01-2024,FC Andorra,0 - 1,Elche
02-02-2024,Elche,2 - 0,Burgos
10-02-2024,Amorebieta,1 - 0,Elche
18-02-2024,Elche,0 - 0,Eibar
25-02-2024,Cartagena,0 - 1,Elche
04-03-2024,Elche,3 - 0,Alcorcon
10-03-2024,Villarreal II,0 - 1,Elche
17-03-2024,Elche,3 - 2,Albacete
24-03-2024,Levante,3 - 2,Elche
31-03-2024,Racing Ferrol,1 - 0,Elche
05-04-2024,Elche,? - ?,Oviedo
13-08-2023,Cartagena,0 - 1,Eldense
21-08-2023,Villarreal II,3 - 1,Eldense
28-08-2023,Eldense,2 - 1,Eibar
03-09-2023,Zaragoza,2 - 0,Eldense
11-09-2023,Eldense,2 - 2,Alcorcon
17-09-2023,Espanol,3 - 3,Eldense
23-09-2023,Levante,2 - 0,Eldense
01-10-2023,Eldense,1 - 3,Oviedo
04-10-2023,Eldense,0 - 1,Valladolid
07-10-2023,Huesca,0 - 1,Eldense
15-10-2023,Eldense,1 - 1,Elche
22-10-2023,Racing Ferrol,1 - 1,Eldense
28-10-2023,Eldense,2 - 0,Amorebieta
05-11-2023,Eldense,2 - 0,Burgos
12-11-2023,FC Andorra,1 - 3,Eldense
19-11-2023,Eldense,2 - 2,Mirandes
27-11-2023,Sp Gijon,2 - 0,Eldense
02-12-2023,Eldense,0 - 3,Tenerife
10-12-2023,Leganes,1 - 1,Eldense
16-12-2023,Eldense,3 - 3,Santander
19-12-2023,Albacete,1 - 1,Eldense
15-01-2024,Eldense,1 - 1,Zaragoza
20-01-2024,Amorebieta,0 - 2,Eldense
28-01-2024,Eldense,3 - 2,Espanol
04-02-2024,Oviedo,1 - 1,Eldense
10-02-2024,Eldense,0 - 0,Huesca
19-02-2024,Tenerife,1 - 0,Eldense
25-02-2024,Eldense,2 - 0,Racing Ferrol
02-03-2024,Eldense,2 - 0,Villarreal II
09-03-2024,Mirandes,3 - 1,Eldense
15-03-2024,Eldense,0 - 0,Cartagena
24-03-2024,Santander,2 - 1,Eldense
