titulo,autor,duracion
Somewhere Beyond the Sea,De: TJ Klune,Duración: 12 h
This Is Why We Lied,De: Karin Slaughter,Duración: 12 h
Fake Dates and Fanged Mistakes,De: Alice Winters,Duración: 10 h y 11 m
The Ambitious Lives of Evan Sanderson,De: Shawn Inmon,Duración: 10 h y 49 m
Netherworld Manor,De: Kay Williams,Duración: 23 h y 52 m
A Little Naughty,De: Tia Louise,Duración: 9 h y 54 m
Dr. Prepper,De: Margaret Lashley,Duración: 7 h y 4 m
The Fireman and the Flirt,De: A.J. Truman,Duración: 7 h y 48 m
Who Are We Now?,De: Blaise Aguera y Arcas,Duración: 13 h y 49 m
How the World Made the West,De: Josephine Quinn,Duración: 18 h
Fractured Souls,De: Neva Altaj,Duración: 7 h y 1 m
The Familiar,De: Leigh Bardugo,Duración: 12 h y 57 m
The Devil and Communist China,De: Steven W. Mosher,Duración: 10 h y 35 m
On the Same Page,De: Haley Cass,Duración: 16 h y 18 m
An Autobiography of Trauma,De: Peter A. Levine,Duración: 6 h y 29 m
Friends in Napa,"De: Sheila Yasmin Marikar, Mindy Kaling - introduction",Duración: 9 h y 5 m
A History of the World in Twelve Shipwrecks,De: David Gibbins,Duración: 14 h y 35 m
What Is Love?,De: Jen Comfort,Duración: 10 h y 41 m
If Only I Had Told Her,De: Laura Nowlin,Duración: 9 h y 44 m
Push,De: Nyla K,Duración: 19 h y 24 m
The Husbands,De: Holly Gramazio,Duración: 10 h y 30 m
"Think This, Not That",De: Dr. Josh Axe,Duración: 9 h y 22 m
An Assassination on the Agenda,De: T E Kinsey,Duración: 9 h
Storms and Secrets,De: Claire Kingsley,Duración: 10 h y 41 m
The Reappearance of Rachel Price,De: Holly Jackson,Duración: 16 h y 34 m
Forgiveness After Trauma,De: Susannah Griffith,Duración: 6 h y 21 m
She's Not Sorry,De: Mary Kubica,Duración: 10 h y 32 m
What Sleeps Within the Cove,De: Harper L. Woods,Duración: 11 h
It's Not Hysteria,De: Dr. Karen Tang,Duración: 9 h y 40 m
Whistleblower,De: Jen Lyon,Duración: 13 h y 50 m
Apples Never Fall,De: Liane Moriarty,Duración: 18 h y 3 m
Talk Money to Me,De: Jason Tartick,Duración: 7 h y 13 m
Murder in a Tourist Town,De: Lynn Cahoon,Duración: 2 h y 18 m
Crowns of Ice,De: Krista Street,Duración: 9 h y 37 m
Tower of Silence,De: Larry Correia,Duración: 16 h y 1 m
How to Day Trade: The Plain Truth,De: Ross Cameron,Duración: 4 h y 31 m
Death of a Penniless Poet,"De: Karen Baugh Menuhin, Zoe Markham",Duración: 9 h y 59 m
Between Never and Forever,De: Shain Rose,Duración: 11 h y 47 m
Four Minutes,"De: Jeffrey Wilson, Brian Andrews",Duración: 10 h y 53 m
Close to Death,De: Anthony Horowitz,Duración: 9 h y 12 m
Children of Dune,De: Frank Herbert,Duración: 16 h y 51 m
Secrets of Grady,De: J.L. Hyde,Duración: 5 h y 16 m
After 1177 B.C.,De: Eric H. Cline,Duración: 9 h y 18 m
A Murder to Remember,De: Brynn Kelly,Duración: 10 h y 3 m
